uuid,model_score,analyst_score
Q1,2.499999999,2.0
Q10,1.5,1.0
Q11,0.0,0.0
Q12,-1.0,-1.0
Q14,0.999999999,0.0
Q15,3.0,3.0
Q16,2.000000001,2.0
Q17,0.0,1.0
Q19,-1.0,1.0
Q2,-1.0,-1.0
Q22,2.000000001,3.0
Q23,3.0,3.0
Q25,-1.0,-1.0
Q26,-1.0,-1.0
Q3,-1.0,-1.0
Q34,3.0,3.0
Q35,-1.0,-1.0
Q36,0.0,0.0
Q38,-1.0,-1.0
Q4,2.499999999,3.0
Q40,2.000000001,2.0
Q42,0.0,0.0
Q45,2.000000001,2.0
Q49,-1.0,-1.0
Q5,2.000000001,2.0
Q50,2.499999999,2.0
Q52,0.999999999,1.0
Q55,-1.0,-1.0
Q58,3.0,3.0
Q59,1.5,3.0
Q6,0.999999999,2.0
Q61,1.5,0.0
Q63,3.0,3.0
Q65,2.000000001,2.0
Q67,-1.0,-1.0
Q69,-1.0,-1.0
Q7,1.5,3.0
Q71,2.000000001,2.0
Q80,0.999999999,0.0
Q9,2.499999999,3.0
Q25.1274,2.0,2.0
Q25.1290,2.0,2.0
Q25.1324,2.0,2.0
Q11.66,0.0,0.0
Q11.1324,0.0,0.0
Q14.1861,3.0,3.0
Q42.276,-1.0,-1.0
Q42.276,3.0,3.0
Q42.1290,3.0,3.0
Q9.1324,3.0,3.0
Q10.939,3.0,3.0
Q38.1290,2.5,2.5
Q38.1334,2.0,2.0
Q15.1290,3.0,3.0
Q69.57,3.0,3.0
Q69.1119,3.0,3.0
Q22.320,2.0,2.0
Q58.585,0.0,0.0
Q16.1549,0.0,0.0
Q40.57,0.0,0.0
Q40.354,2.0,2.0
Q40.906,1.0,1.0
Q40.939,2.0,2.0
Q40.1274,2.0,2.0
Q40.1732,3.0,3.0
Q12.1119,3.0,3.0
Q12.1293,3.0,3.0
Q45.57,3.0,3.0
Q45.66,1.0,1.0
Q45.1334,0.0,0.0
Q17.1119,2.0,2.0
Q59.375,-1.0,-1.0
Q7.539,0.0,0.0
Q36.57,-1.0,-1.0
Q36.1274,3.0,3.0
Q50.1119,1.0,2.0
Q80.342,3.0,3.0
Q2.276,-1.0,-1.0
Q61.276,-1.0,-1.0
Q61.939,0.0,-1.0
Q55.66,3.0,3.0
Q55.375,2.0,2.0
Q55.1732,3.0,-1.0
Q6.57,3.0,3.0
Q6.1732,-1.0,-1.0
Q65.57,3.0,3.0
Q65.276,3.0,3.0
Q65.1293,3.0,3.0
Q65.1732,3.0,3.0
Q3.276,2.0,2.0
Q3.939,1.0,1.0
Q3.1861,-1.0,-1.0
Q34.1622,3.0,3.0
Q52.1274,3.0,-1.0
Q52.1334,1.0,1.0
Q63.585,3.0,3.0
Q63.1119,3.0,3.0
Q4.77,-1.0,0.0
Q4.1415,0.0,0.0
Q67.276,-1.0,-1.0
